INDEX_,DATE_TIME,SEASON,YEAR,MONTH,MONTH_NAME,DAY_NAME,HOUR,HOUR_INTERVAL,ACCNUM,INVTYPE,INVAGE,INJURY,DISTRICT,NEIGHBOURHOOD,VEHTYPE,VEHICLE_CATEGORY,ALCOHOL
6709229,2011-11-26 12:35:00,Autumn,2011,11,November,Saturday,12,12:00 to 12:59,1268545,Passenger,10 to 14,None,North York,Mount Pleasant East (99),Other,Other,<Null>
7529119,2012-11-01 06:52:00,Autumn,2012,11,November,Thursday,06,06:00 to 06:59,1323544,Passenger,45 to 49,None,North York,Yorkdale-Glen Park (31),Other,Other,<Null>
7529120,2012-11-01 06:52:00,Autumn,2012,11,November,Thursday,06,06:00 to 06:59,1323544,Driver,45 to 49,None,North York,Yorkdale-Glen Park (31),"Automobile, Station Wagon",Automobile,<Null>
7408914,2012-03-04 09:34:00,Winter,2012,3,March,Sunday,09,09:00 to 09:59,1291622,Pedestrian,75 to 79,Major,Scarborough,Malvern (132),Other,Other,<Null>
7529121,2012-11-01 06:52:00,Autumn,2012,11,November,Thursday,06,06:00 to 06:59,1323544,Driver,50 to 54,None,North York,Yorkdale-Glen Park (31),"Automobile, Station Wagon",Automobile,<Null>
7529122,2012-11-01 06:52:00,Autumn,2012,11,November,Thursday,06,06:00 to 06:59,1323544,Driver,25 to 29,None,North York,Yorkdale-Glen Park (31),"Automobile, Station Wagon",Automobile,<Null>
7529123,2012-11-01 06:52:00,Autumn,2012,11,November,Thursday,06,06:00 to 06:59,1323544,Pedestrian,30 to 34,Fatal,North York,Yorkdale-Glen Park (31),Other,Other,<Null>
7542562,2012-11-01 06:54:00,Autumn,2012,11,November,Thursday,06,06:00 to 06:59,1323931,Driver,unknown,None,North York,Forest Hill North (102),"Automobile, Station Wagon",Automobile,<Null>
7542563,2012-11-01 06:54:00,Autumn,2012,11,November,Thursday,06,06:00 to 06:59,1323931,Pedestrian,50 to 54,Major,North York,Forest Hill North (102),Other,Other,<Null>
7530142,2012-11-01 07:15:00,Autumn,2012,11,November,Thursday,07,07:00 to 07:59,1331690,Driver,45 to 49,None,Scarborough,Rouge (131),"Automobile, Station Wagon",Automobile,<Null>
7530143,2012-11-01 07:15:00,Autumn,2012,11,November,Thursday,07,07:00 to 07:59,1331690,Pedestrian,20 to 24,Major,Scarborough,Rouge (131),Other,Other,<Null>
7498285,2012-11-01 21:28:00,Autumn,2012,11,November,Thursday,21,21:00 to 21:59,1329449,Driver,30 to 34,None,North York,Wexford/Maryvale (119),"Automobile, Station Wagon",Automobile,<Null>
7433628,2012-06-22 19:40:00,Summer,2012,6,June,Friday,19,19:00 to 19:59,1302226,Driver,30 to 34,None,North York,Parkwoods-Donalda (45),"Automobile, Station Wagon",Automobile,<Null>
7498286,2012-11-01 21:28:00,Autumn,2012,11,November,Thursday,21,21:00 to 21:59,1329449,Vehicle Owner,unknown,<Null>,North York,Wexford/Maryvale (119),Other,Other,<Null>
7498287,2012-11-01 21:28:00,Autumn,2012,11,November,Thursday,21,21:00 to 21:59,1329449,Driver,20 to 24,Major,North York,Wexford/Maryvale (119),"Automobile, Station Wagon",Automobile,<Null>
7516724,2012-11-02 01:00:00,Autumn,2012,11,November,Friday,01,01:00 to 01:59,1329833,Driver,55 to 59,None,Toronto and East York,Oakwood Village (107),"Automobile, Station Wagon",Automobile,<Null>
7516725,2012-11-02 01:00:00,Autumn,2012,11,November,Friday,01,01:00 to 01:59,1329833,Pedestrian,50 to 54,Major,Toronto and East York,Oakwood Village (107),Other,Other,<Null>
7516729,2012-11-02 19:33:00,Autumn,2012,11,November,Friday,19,19:00 to 19:59,1329835,Vehicle Owner,unknown,<Null>,North York,Leaside-Bennington (56),Other,Other,<Null>
7516730,2012-11-02 19:33:00,Autumn,2012,11,November,Friday,19,19:00 to 19:59,1329835,Driver,50 to 54,None,North York,Leaside-Bennington (56),"Automobile, Station Wagon",Automobile,<Null>
7516731,2012-11-02 19:33:00,Autumn,2012,11,November,Friday,19,19:00 to 19:59,1329835,Driver,35 to 39,None,North York,Leaside-Bennington (56),"Automobile, Station Wagon",Automobile,<Null>
7516732,2012-11-02 19:33:00,Autumn,2012,11,November,Friday,19,19:00 to 19:59,1329835,Vehicle Owner,unknown,<Null>,North York,Leaside-Bennington (56),Other,Other,<Null>
